OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
"['little', 'hard', 'navigate', 'find', 'test', 'think', 'option', 'take', 'test', 'twice', 'read', 'direction', 'improve', 'score', 'happy', 'go', 'back', 'next', 'day', 'take', 'test', 'say', 'proctor', 'confuse', 'could', 'take', 'test', 'improve', 'score']","['caroline', 'personable', 'take', 'time', 'get', 'know', 'person', 'answer', 'question', 'load', 'information', 'class', 'best', 'appreciate', 'also', 'work', 'mary', 'kay', 'fix', 'schedule', 'do', 'correctly', 'fast', 'give', 'load', 'information', 'make', 'schedule', 'perfect', 'definitely', 'appreciate']","['feel', 'session', 'morning', 'drug', 'reason', 'provost', 'speech', 'insanely', 'long', 'repetitive', 'think', 'first', 'lady', 'speak', 'give', 'u', 'information', 'need', 'need', 'hear', 'provost', 'hour', 'long', 'speech', 'drug', 'also', 'weird', 'scream', 'need', 'help', 'think', 'appropriate', 'mean']","['everyone', 'super', 'cool', 'lay', 'back', 'student', 'fun', 'cool', 'around', 'afraid', 'ask', 'question', 'someone', 'help']","['think', 'need', 'time', 'spend', 'navigate', 'around', 'kent', 'think', 'need', 'go', 'build', 'hold', 'help', 'incoming', 'freshman']","['food', 'honestly', 'incredible', 'many', 'option']","['please', 'add', 'water', 'place', 'around', 'campus', 'extremely', 'dehydrate', 'two', 'day', 'really', 'stress', 'either', 'bring', 'water', 'bottle', 'available', 'u', 'walk', 'around', 'degree', 'weather', 'water', 'hour', 'something', 'lot', 'student', 'complain', 'feel', 'sick', 'dehydrate', 'lack', 'water']"
['nan'],"['make', 'easy', 'leave', 'feel', 'assure', 'would', 'back', 'throughout', 'school']","['overwhelm', 'lot', 'overwhelm', 'paper', 'fill', 'much', 'time']","['split', 'group', 'depend', 'flag', 'put', 'name', 'tag', 'order', 'meet', 'people', 'similar', 'interest']",['nan'],"['love', 'explore', 'downtown', 'first', 'time', 'big', 'group', 'parent', 'day', 'first', 'time', 'really', 'felt', 'like', 'college', 'student']",['nan']
"['think', 'test', 'run', 'well', 'little', 'confuse', 'navigate', 'take', 'test', 'also', 'think', 'could', 'take', 'test', 'twice', 'go', 'say', 'test', 'proctor', 'little', 'upset', 'retake', 'get', 'good', 'score']","['caroline', 'nice', 'helpful', 'academic', 'advise', 'really', 'appreciate', 'fact', 'personable', 'really', 'want', 'get', 'know', 'like', 'help', 'whatever', 'question', 'also', 'recommend', 'thing', 'take']",['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],['nan'],['tour'],['nan'],['nan']
['nan'],"['art', 'college', 'advisor', 'patient', 'helpful']",['nan'],"['something', 'specific', 'major', 'v', 'college', 'would', 'helpful']",['nan'],['nan'],['nan']
['nan'],"['advisor', 'patient', 'help', 'successfully', 'even', 'though', 'quite', 'sure', 'help', 'need']",['nan'],"['maybe', 'give', 'time', 'sit', 'talk', 'people', 'similar', 'major']",['nan'],"['connect', 'student', 'plan', 'meet', 'make', 'confident', 'go', 'even', 'though', 'nervous']",['nan']
['nan'],['nan'],['nan'],['icebreaker'],['nan'],"['party', 'night', 'get', 'meet', 'many', 'new', 'people', 'make', 'new', 'friend']",['nan']
"['try', 'base', 'placement', 'assessment', 'student', 'take', 'high', 'school', 'rather', 'everyone']","['allow', 'people', 'away', 'campus', 'go', 'first', 'get', 'way', 'fast', 'enjoy', 'meet', 'talk', 'academic', 'advisor']",['nan'],"['time', 'talk', 'student']",[],['good'],['nan']
['nan'],['nan'],['nan'],"['small', 'group', 'student', 'evoke']",['nan'],['nan'],['nan']
['nan'],"['everyone', 'super', 'nice', 'helpful']",['nan'],"['would', 'good', 'socialize', 'break', 'college', 'group', 'everyone', 'outgo', 'hard', 'make', 'friend']","['talk', 'pay', 'tuition']","['everyone', 'end', 'night', 'cool']",['nan']
['nan'],['nan'],['nan'],['nan'],['tour'],"['hear', 'major', 'school', 'also', 'schedule']",['nan']
['nan'],['nan'],['nan'],"['able', 'talk', 'people', 'small', 'group']","['fair', 'begin']",[],['nan']
"['maybe', 'overview', 'know', 'prepare']",['nan'],['nan'],"['day', 'choose', 'randomly', 'many', 'people', 'schedule', 'day', 'friend', 'already', 'know', 'people', 'help', 'people', 'connection']","['buy', 'book', 'buy', 'book', 'save', 'find', 'job']",['advise'],['nan']
['nan'],['nan'],['nan'],['nan'],"['would', 'like', 'access', 'water', 'food', 'let', 'u', 'know', 'snack', 'really', 'provide', 'besides', 'ice', 'cream', 'door', 'dash', 'lemonade', 'thirsty']","['really', 'like', 'roommate', 'get', 'lucky', 'enjoy', 'interactive', 'activity', 'ribbon', 'lanyard', 'fun']",['nan']
